u,v,key,osmid,highway,name,oneway,reversed,length,lanes,bridge,maxspeed,tunnel,service,access,width,geometry
5683792664,5683792661,0,596721699,service,,False,True,27.786931312911126,,,,,,,,"LINESTRING (105.8267959 21.0051503, 105.8266801 21.004925)"
5683792664,5683792663,0,596721700,service,,False,False,71.36605200372543,,,,,,,,"LINESTRING (105.8267959 21.0051503, 105.8274183 21.0048777)"
5683792664,5683792666,0,596721700,service,,False,True,39.27115483394379,,,,,,,,"LINESTRING (105.8267959 21.0051503, 105.8264588 21.0053106)"
5683792666,5683792662,0,596721699,service,,False,False,28.33460328569002,,,,,,,,"LINESTRING (105.8264588 21.0053106, 105.8263459 21.0050786)"
5683792666,5683792664,0,596721700,service,,False,False,39.27115483394379,,,,,,,,"LINESTRING (105.8264588 21.0053106, 105.8267959 21.0051503)"
5683792666,5683792668,0,596721700,service,,False,True,54.78529090014075,,,,,,,,"LINESTRING (105.8264588 21.0053106, 105.8259854 21.0055284)"
5683792666,8324426289,0,602349045,service,,False,False,25.52118113829805,,,,,,,,"LINESTRING (105.8264588 21.0053106, 105.8265641 21.005518)"
5683792668,5683792666,0,596721700,service,,False,False,54.78529090014075,,,,,,,,"LINESTRING (105.8259854 21.0055284, 105.8264588 21.0053106)"
5683792668,7404653600,0,792045849,service,,False,True,21.13172992013592,,,,,,,,"LINESTRING (105.8259854 21.0055284, 105.8258015 21.0056099)"
5683792669,5683792670,0,596721701,service,,False,True,70.28730571619167,,,,,,,,"LINESTRING (105.8280178 21.0049935, 105.8277127 21.0044292)"
5683792669,8767931832,0,675260211,service,,False,False,5.754607353084187,,,,,,,,"LINESTRING (105.8280178 21.0049935, 105.8279695 21.0050189)"
5683792669,10997015881,0,675260211,service,,False,True,54.543569817993564,,,,,,,,"LINESTRING (105.8280178 21.0049935, 105.8284907 21.0047797)"
5683792670,5683792669,0,596721701,service,,False,False,70.28730571619167,,,,,,,,"LINESTRING (105.8277127 21.0044292, 105.8280178 21.0049935)"
5683792670,5683792694,0,596721713,residential,Phố Tam Khương,False,False,18.112384263018562,2,,,,,,,"LINESTRING (105.8277127 21.0044292, 105.8278871 21.0044242)"
5683792670,5683792695,0,596721713,residential,Phố Tam Khương,False,True,5.844304425705851,2,,,,,,,"LINESTRING (105.8277127 21.0044292, 105.8276564 21.0044292)"
5683792671,5683792672,0,596721702,service,,False,True,63.12129720775253,,,,,,,,"LINESTRING (105.8280056 21.0059851, 105.828552 21.005736)"
