id,u,v,length,name,geometry
663,279,3546,3.666458117949035,,"LINESTRING (105.8288741 21.0098533, 105.8289055 21.0098382)"
664,279,3509,39.25967701961977,,"LINESTRING (105.8288741 21.0098533, 105.8290402 21.0101705)"
665,279,3601,28.53484796857361,,"LINESTRING (105.8288741 21.0098533, 105.8286262 21.0099642)"
666,280,1490,5.744042873574014,Ngõ 12 Chùa Bộc,"LINESTRING (105.8282609 21.0082453, 105.8282123 21.00827)"
667,280,281,39.20055997202744,Ngõ 12 Chùa Bộc,"LINESTRING (105.8282609 21.0082453, 105.8280924 21.0079298)"
668,280,282,8.028195556620355,,"LINESTRING (105.8282609 21.0082453, 105.8283309 21.0082146)"
669,281,618,11.15216220674994,Ngõ 12 Chùa Bộc,"LINESTRING (105.8280924 21.0079298, 105.8280752 21.0078308)"
670,282,2506,31.52261935033664,Ngõ 12 Chùa Bộc,"LINESTRING (105.8283309 21.0082146, 105.8284618 21.0084704)"
671,282,280,8.028195556620355,,"LINESTRING (105.8283309 21.0082146, 105.8282609 21.0082453)"
672,283,186,8.510522022312905,Ngõ 12 Chùa Bộc,"LINESTRING (105.8280274 21.0077298, 105.8279926 21.0076605)"
673,283,796,5.231504849420271,Ngõ 12 Chùa Bộc,"LINESTRING (105.8280274 21.0077298, 105.8280466 21.0077733)"
674,283,79,88.08525132027891,Phố Chùa Bộc,"LINESTRING (105.8280274 21.0077298, 105.8272568 21.0080615)"
675,284,1563,4.517921710454504,,"LINESTRING (105.828495 21.0085377, 105.8285333 21.0085184)"
676,284,277,7.766170587400501,,"LINESTRING (105.828495 21.0085377, 105.8284342 21.0085784)"
677,285,3522,24.959516031096328,,"LINESTRING (105.8288513 21.0083876, 105.8289613 21.0085872)"
678,285,1563,36.07171673042108,,"LINESTRING (105.8288513 21.0083876, 105.8285333 21.0085184)"
679,286,287,36.96186441123312,,"LINESTRING (105.8275542 21.0113952, 105.8272484 21.0115655)"
680,287,286,36.96186441123312,,"LINESTRING (105.8272484 21.0115655, 105.8275542 21.0113952)"
681,287,1457,10.845660493213126,,"LINESTRING (105.8272484 21.0115655, 105.8271557 21.0116105)"
682,288,1653,52.592906872847365,,"LINESTRING (105.8322455 21.0117074, 105.8326188 21.0120272)"
