id,lat,lng,street_count
344,21.0041615,105.8324956,2
345,21.0039447,105.8324546,2
346,21.0036828,105.8324568,2
347,21.0035398,105.8324796,2
348,21.0033001,105.832565,2
349,21.0031848,105.8326379,2
350,21.0030199,105.8327513,2
351,21.0028039,105.8328875,2
352,21.0026681,105.8329806,3
353,21.0025052,105.8331162,2
354,21.0024163,105.8332182,3
355,21.0020032,105.833901,2
356,21.001813,105.8342164,2
357,21.0016817,105.8344126,2
358,21.0016063,105.8344994,2
359,21.0014814,105.8346135,2
360,21.0121658,105.8274791,3
361,21.0122156,105.8273672,2
362,21.0117875,105.8271175,1
363,20.9988484,105.8377772,3
364,20.999553,105.8378157,3
365,20.9995604,105.8376363,3
366,21.0009428,105.8375658,3
367,21.0013984,105.8375616,2
368,21.0022089,105.8353535,1
369,21.0029287,105.8299304,3
370,21.0096716,105.8300876,2
371,21.0090313,105.8297995,2
372,21.0088774,105.8298192,3
373,21.0087354,105.82987,2
374,21.0086389,105.8299387,2
375,21.0085396,105.8300401,2
376,21.0084638,105.8301349,2
377,21.0083772,105.8302797,2
378,21.0083219,105.8304171,2
379,21.0082051,105.830764,2
380,21.008046,105.8311774,2
381,21.0079348,105.831399,2
382,21.0078445,105.8315288,2
383,21.0077502,105.8315973,3
384,21.0070219,105.8320781,3
385,21.0090692,105.8300628,2
386,21.0087287,105.8302247,2
387,21.0085347,105.8305437,2
388,21.0083232,105.8311378,2
389,21.0081488,105.8314907,2
390,21.0079479,105.8317396,2
391,21.007164,105.8322742,3
392,21.0086185,105.8303815,2
393,21.0088094,105.830127,2
394,21.0095651,105.8302985,2
395,21.0084174,105.8308532,2
396,21.0082426,105.8313169,3
397,21.0080689,105.8316149,2
398,21.0061964,105.828121,3
399,21.0068953,105.8266292,3
400,21.0074179,105.8269103,3
401,21.0063248,105.8411847,2
402,21.0063215,105.8413094,3
403,21.0017104,105.839237,3
404,21.0022438,105.8360515,3
405,21.0042157,105.8395667,3
406,21.0027729,105.8344746,4
407,21.0057662,105.8309463,3
408,21.0058873,105.8309928,2
409,21.0059896,105.8310399,4
410,21.0060273,105.8310576,3
411,21.0059917,105.8327377,4
412,21.0047772,105.822756,1
413,21.0049273,105.8223585,3
414,21.0043916,105.8227546,1
415,21.0041874,105.822385,3
416,21.0042736,105.8223295,2
417,21.0027599,105.821931,4
418,21.0042484,105.8229364,1
419,21.0030498,105.8230388,2
420,21.0031891,105.8231479,3
421,21.0032773,105.8231717,2
422,21.0038357,105.8235124,2
423,21.0046575,105.824006,3
424,21.0056371,105.8226959,4
425,21.0052687,105.8254724,3
426,21.0045659,105.8248296,2
427,21.0057159,105.8245142,2
428,21.0059446,105.8237418,1
429,21.0054497,105.8230824,3
430,21.004905,105.8240766,3
431,21.0059666,105.8304244,1
432,21.004925,105.8266801,2
433,21.0050786,105.8263459,2
434,21.0048777,105.8274183,3
435,21.0051503,105.8267959,3
436,21.0053106,105.8264588,4
437,21.0055284,105.8259854,2
438,21.0049935,105.8280178,3
439,21.0044292,105.8277127,3
440,21.0059851,105.8280056,3
441,21.005736,105.828552,1
442,21.0061057,105.8313438,3
443,21.0062201,105.8312827,4
444,21.0053625,105.8307904,3
445,21.0057513,105.8294682,3
446,21.0037348,105.8302083,3
447,21.0028685,105.8301832,3
448,21.0036684,105.830517,3
449,21.0034388,105.8315988,2
450,21.0026941,105.8309831,4
451,21.0035506,105.8310651,4
452,21.0042689,105.829609,2
453,21.0042213,105.8293784,2
454,21.0043052,105.8291839,2
455,21.0044442,105.8288956,2
456,21.0045143,105.8286971,2
457,21.0044943,105.8283055,2
458,21.0044242,105.8278871,2
459,21.0044292,105.8276564,2
460,21.0045143,105.8275598,4
461,21.0045071,105.8274316,3
462,21.0044542,105.8271843,2
463,21.0040335,105.8257762,2
464,21.0036289,105.8368689,3
465,21.0038118,105.8368186,1
466,21.0053131,105.835493,3
467,21.0052167,105.8320036,3
468,21.005828,105.8410141,2
469,21.0063309,105.8410428,3
470,21.0061558,105.8410382,3
471,21.004196,105.840884,3
472,21.0040246,105.8398317,3
473,21.0042016,105.8392963,4
474,21.0018255,105.8258343,3
475,21.0019935,105.8258645,2
476,21.0024646,105.8258048,3
477,21.0023281,105.8309376,3
478,21.0011364,105.8307436,1
479,21.0002974,105.8307408,3
480,21.0010749,105.8309567,2
