osmid,id,y,x,street_count,highway,railway,ref,geometry
5686502527,532,21.0024452,105.8386779,3,,,,POINT (105.8386779 21.0024452)
5686502529,533,21.0017624,105.8411588,2,,,,POINT (105.8411588 21.0017624)
5686502530,534,21.0019229,105.8412244,3,,,,POINT (105.8412244 21.0019229)
5686502531,535,21.0030387,105.8409279,1,,,,POINT (105.8409279 21.0030387)
5686502533,536,21.0018485,105.8406007,2,,,,POINT (105.8406007 21.0018485)
5686502535,537,21.0019227,105.8409165,3,,,,POINT (105.8409165 21.0019227)
5686502536,538,21.0020422,105.8409174,3,,,,POINT (105.8409174 21.0020422)
5686502537,539,21.0020369,105.8406003,3,,,,POINT (105.8406003 21.0020369)
5686502538,540,21.0016869,105.8379912,2,,,,POINT (105.8379912 21.0016869)
5686502540,541,21.0016147,105.837991,1,,,,POINT (105.837991 21.0016147)
5686502541,542,21.0030279,105.8392603,2,,,,POINT (105.8392603 21.0030279)
5687055628,543,20.9993747,105.8364475,1,,,,POINT (105.8364475 20.9993747)
5687055629,544,20.9992336,105.8378072,3,,,,POINT (105.8378072 20.9992336)
5689263043,545,20.997976,105.8410628,2,,level_crossing,,POINT (105.8410628 20.997976)
5689263045,546,20.9995914,105.8388787,2,,,,POINT (105.8388787 20.9995914)
5689263057,547,20.9979543,105.8411369,4,,,,POINT (105.8411369 20.9979543)
5689263071,548,20.9991422,105.8411762,3,,,,POINT (105.8411762 20.9991422)
5689358174,549,21.0001991,105.8408778,2,,,,POINT (105.8408778 21.0001991)
5689358175,550,20.9998819,105.8404157,2,,,,POINT (105.8404157 20.9998819)
5689358176,551,21.0001349,105.8404317,2,,,,POINT (105.8404317 21.0001349)
5689358177,552,21.0015824,105.8410019,2,,,,POINT (105.8410019 21.0015824)
5698835496,553,20.9994966,105.8392125,3,,,,POINT (105.8392125 20.9994966)
5698835497,554,21.0000785,105.8389939,1,,,,POINT (105.8389939 21.0000785)
5700863976,555,20.9994915,105.8390035,2,,,,POINT (105.8390035 20.9994915)
5700863977,556,20.9995363,105.8389512,2,,,,POINT (105.8389512 20.9995363)
5709906182,557,21.0107817,105.8372067,3,,,,POINT (105.8372067 21.0107817)
